Config_ID,LR,Batch_Size,Optimizer,Dropout,Conv1_Channels,Conv2_Channels,FC_Nodes,Activation,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Time_Secs
1,0.1,32,AdamW,0.0,8,16,128,relu,2.3130825454711914,10.306666666666667,2.312033837890625,10.1,16.99890947341919
2,0.001,32,AdamW,0.0,8,16,32,relu,0.06604342348544548,97.94833333333334,0.04616330795288086,98.41,15.816220760345459
3,0.001,128,SGD,0.5,8,32,128,leaky_relu,1.3664005475680034,67.59833333333333,0.6666722229003906,85.32,11.509002208709717
4,0.001,64,SGD,0.25,16,24,32,relu,0.556299597009023,84.56333333333333,0.35747159576416015,89.82,12.324575662612915
5,0.005,64,AdamW,0.0,8,24,32,relu,0.059463260177647075,98.18333333333334,0.05418572692871094,98.25,12.864708185195923
6,0.005,32,AdamW,0.25,16,24,32,leaky_relu,0.09168378432768708,97.33833333333334,0.051444091033935546,98.39,15.600524425506592
7,0.005,128,SGD,0.25,8,32,64,leaky_relu,0.31452613724072775,90.76,0.2091790496826172,94.06,11.101341485977173
8,0.001,64,SGD,0.5,8,16,128,relu,0.8321974589824677,76.97666666666667,0.4176195556640625,87.82,12.824002742767334
9,0.01,32,SGD,0.0,12,24,64,leaky_relu,0.07905663517893602,97.62833333333333,0.04945202808380127,98.55,15.392282009124756
10,0.01,32,AdamW,0.25,8,32,64,leaky_relu,0.1643591864717348,95.59333333333333,0.1311563217163086,96.3,17.951372146606445
11,0.1,128,SGD,0.5,16,16,32,gelu,0.14548688884178798,95.78166666666667,0.05486156005859375,98.18,11.510712385177612
12,0.005,64,SGD,0.5,12,16,32,relu,0.29872121773560845,91.22333333333333,0.1646263973236084,94.91,12.494056701660156
13,0.01,64,AdamW,0.0,8,32,128,gelu,0.0928101770867904,97.51166666666667,0.12059729347229003,97.04,12.352189540863037
14,0.05,128,AdamW,0.25,16,24,32,gelu,0.9610127402941386,68.85833333333333,0.4637801513671875,88.09,11.104490518569946
15,0.05,32,AdamW,0.5,16,24,128,gelu,2.3600359862009683,10.228333333333333,2.3260345703125,10.28,16.815744876861572
16,0.01,32,SGD,0.5,12,16,32,relu,0.1756878923177719,94.75,0.06908457870483399,97.89,16.043188095092773
17,0.05,128,SGD,0.5,12,32,32,gelu,0.11394264224370321,96.65666666666667,0.0495450870513916,98.37,11.42316198348999
18,0.005,128,AdamW,0.5,12,32,32,leaky_relu,0.1014760610262553,97.0,0.03914924383163452,98.82,12.87509536743164
19,0.1,128,AdamW,0.5,12,16,64,gelu,2.3163265698750815,10.518333333333333,2.3115755859375,11.35,11.69970703125
20,0.05,64,SGD,0.5,16,24,128,relu,0.10450462057938179,96.85833333333333,0.04586248302459717,98.62,17.88189196586609
21,0.001,32,AdamW,0.5,16,32,32,relu,0.09720086455307901,97.16833333333334,0.04404105281829834,98.5,17.103339672088623
22,0.01,32,SGD,0.5,12,24,32,relu,0.14942985602666933,95.585,0.06977749900817871,97.64,18.67232084274292
23,0.01,64,SGD,0.0,8,32,32,relu,0.10852020275841157,96.74333333333334,0.07323836555480957,97.58,14.298900127410889
24,0.005,32,SGD,0.0,16,24,128,relu,0.09779558644567926,97.03,0.07097597045898438,97.7,16.620821475982666
25,0.01,128,AdamW,0.0,16,32,128,relu,0.1856950157245,94.38,0.19514343948364257,93.94,16.501429319381714
26,0.01,64,AdamW,0.25,16,24,32,relu,0.13724819000288843,96.02,0.08197492866516114,97.39,16.746697902679443
27,0.05,32,AdamW,0.0,16,32,32,leaky_relu,73.7398967717727,67.45666666666666,0.7418875427246093,80.98,19.216471672058105
28,0.05,32,SGD,0.5,16,16,32,relu,0.14046461637650307,95.93333333333334,0.05822886066436767,98.16,17.2474365234375
29,0.1,64,SGD,0.5,8,24,128,gelu,0.10223392654110988,96.96833333333333,0.03990258502960205,98.71,13.878029823303223
30,0.05,128,SGD,0.5,16,32,64,relu,0.11309001465042433,96.56333333333333,0.055984027099609375,98.15,12.41663146018982
31,0.005,64,SGD,0.0,8,32,64,gelu,0.14350137180685996,95.735,0.09622269687652588,97.13,14.059025764465332
32,0.005,64,AdamW,0.5,8,32,128,leaky_relu,0.10973003719237943,96.7,0.05403092441558838,98.4,14.043537616729736
33,0.1,32,AdamW,0.5,12,16,32,relu,2.3149037152608236,10.311666666666667,2.318166650390625,9.8,18.032958507537842
34,0.05,128,AdamW,0.0,12,16,64,gelu,0.3417560196955999,91.80666666666667,0.25062733764648437,94.08,12.281790494918823
35,0.05,32,AdamW,0.5,8,16,128,leaky_relu,25.633884630552927,60.285,0.7374556640625,76.49,17.875524520874023
36,0.1,32,SGD,0.0,12,24,64,relu,0.05819943104721994,98.235,0.06079527263641357,98.23,17.05650496482849
37,0.005,32,SGD,0.25,8,24,64,gelu,0.13693130009671053,95.94,0.07836012783050537,97.54,18.084570169448853
38,0.01,64,AdamW,0.0,8,24,32,relu,0.0854786874163275,97.53,0.052170723915100095,98.33,12.518324613571167
39,0.001,128,SGD,0.5,12,16,32,leaky_relu,2.1404317863464355,28.586666666666666,1.8810675903320313,57.68,10.912243366241455
40,0.005,128,SGD,0.0,16,16,32,relu,0.27119960811138155,91.89333333333333,0.19636957702636718,94.0,10.861902952194214
41,0.001,32,SGD,0.25,8,32,32,leaky_relu,0.3419719065308571,90.03166666666667,0.23075513305664064,93.27,15.475543737411499
42,0.001,32,SGD,0.25,16,32,128,leaky_relu,0.337779207632939,90.14333333333333,0.2539094207763672,92.44,14.55175518989563
43,0.01,64,SGD,0.5,16,24,32,gelu,0.17176988866329193,94.87166666666667,0.08730684700012208,97.26,11.961901426315308
44,0.005,32,AdamW,0.25,12,16,32,gelu,0.10007588760989408,97.01833333333333,0.07368789501190186,97.72,16.203535318374634
45,0.001,128,SGD,0.0,16,16,128,gelu,1.0336630500475565,76.89333333333333,0.5423866302490234,85.99,11.525488138198853
46,0.05,64,SGD,0.0,12,24,32,gelu,0.05362353138600787,98.285,0.03648228330612183,98.74,14.103814363479614
47,0.001,128,AdamW,0.5,16,32,32,leaky_relu,0.11580524762868881,96.45666666666666,0.05707515163421631,98.14,12.30295205116272
48,0.001,64,SGD,0.0,12,16,32,leaky_relu,0.5886348936716715,82.895,0.3826592315673828,88.88,13.246679306030273
49,0.001,32,AdamW,0.25,16,16,128,gelu,0.07155954433064908,97.8,0.03625793981552124,98.75,16.957987546920776
50,0.05,128,AdamW,0.5,12,24,32,relu,2.304567743810018,10.885,2.3060413818359375,11.35,12.401825189590454
